Frase,Sentimento
ele mesmo,Neutro
Você tá maluco,Negativo
Ele é inocente,Negativo
Você é frio,Negativo
Homem careca,Neutro
ele ser feliz,Positivo
você fica depenado,Negativo
homem simples,Negativo
você está louco,Negativo
ele zangado,Negativo
ele contente,Positivo
ele foi convidado,Neutro
Você é cachoeira,Neutro
homem solitário,Negativo
ele nervoso,Negativo
ele louco,Negativo
ele é chumbo,Negativo
Você é simplesmente irresistível,Positivo
homem covarde,Negativo
Você é muito capaz,Positivo
ele foi nascido,Neutro
senhor radialista,Neutro
Ele era mesmo mesquinho,Negativo
Ele foi acorrentado,Negativo
rapaz foi algemado,Negativo
rapaz foi libertado,Positivo
você tá osso,Neutro
Ele é justo,Positivo
ele fica feliz,Positivo
Ele tá todo apaixonado,Positivo
ele miá,Neutro
ele tava abandonado,Negativo
Rapaz é difícil,Negativo
homem sujo,Negativo
você ficar louco,Negativo
ele tá sujo,Negativo
Você é passado,Neutro
ele tá morto,Neutro
homem honrado,Positivo
você foi desigual,Negativo
homem feliz,Positivo
rapaz é desengano,Negativo
Ele é muito conhecido,Positivo
homem honesto,Positivo
Você fique quieto,Negativo
Você ficou tão diferente,Neutro
menino órfão,Negativo
Ele foi aprisionado,Negativo
Menino alegre,Positivo
João boiadeiro,Neutro
rapaz triste,Negativo
rapaz foi cumpri,Neutro
Ele é nacioná,Neutro
eles tavam enganados,Negativo
rapaz era casado,Positivo
senhor vai ficar velho,Negativo
menino feio,Negativo
você for bom,Positivo
ele ensiste,Positivo
homem diferente,Negativo
homem pobre,Negativo
homens grande,Positivo
ele foi interrado,Neutro
Você é livre,Positivo
homem louco,Negativo
homem errante,Negativo
homens poderosos,Positivo
homem maduro,Positivo
ele é limitado,Negativo
menino franzino,Negativo
você ta comigo,Neutro
ele ta apaixonado,Positivo
rapaz carente,Negativo
você estando tão distante,Negativo
você seria comum,Neutro
MENINO ESSE,Neutro
rei vai ficar sozinho,Negativo
homem barbado,Positivo
homem valente,Positivo
menino rico,Positivo
menino mau,Negativo
menino agonizante,Negativo
ele ser bom,Positivo
ele era dividido,Neutro
menino estava vivo,Positivo
meninos amanheciam,Neutro
Homem sério,Positivo
homem forte,Positivo
homem igual,Neutro
rapaz interiorano,Neutro
ele era apaixonado,Positivo
senhor malvado,Negativo
Você será feliz,Positivo
homem pequeno,Negativo
ele nao fosse papudo,Neutro
menino ia garboso,Neutro
homem fraco,Negativo
ele for casado,Neutro
Ele é tão jovem,Positivo
homem escravo,Negativo
Você é tão legal,Positivo
Você está pronto,Positivo
homem doente,Negativo
homem cansado,Negativo
homem mal,Negativo
eles dizem está errado,Negativo
Você é escravo,Negativo
Você está doente,Negativo
eles ficam presos,Negativo
Ele é monumental,Positivo
Você está nervoso,Negativo
Você é sempre tão sexy,Positivo
Você é tão sexy,Positivo
ele tá novinho,Positivo
Você ficou chocado,Negativo
ele tá errado,Negativo
Você tá doente,Negativo
Você é tão jovem,Positivo
Eles estão surdos,Negativo
ele é perfeito,Positivo
Eles querem ser rapstars,Positivo
menino selvagem,Negativo
Você seja estepe,Negativo
você seja amante,Positivo
ele é legal,Positivo
Ele é punk,Neutro
Ele é bigno,Positivo
homem é tão escuro,Neutro
homem adulto,Neutro
Você está errado,Negativo
homens diferentes,Positivo
Ele é pobre,Negativo
você ficou pior,Negativo
ele é fitness,Positivo
homem sincero,Positivo
ele ta carente,Negativo
ele fica contente,Positivo
ele ficou felizão,Positivo
Garoto bonito,Positivo
Ele está presente,Positivo
ele é diferente,Positivo
Ele é tratado,Positivo
homem tolo,Negativo
homem sozinho,Negativo
homem fica tonto,Negativo
homem fica louco,Negativo
você vai ser livre,Positivo
senhor ficou mais alto,Positivo
homem rico,Positivo
homem frouxo,Negativo
homem rude,Negativo
ele está carregado,Neutro
homem namorador,Positivo
senhor foi avalista,Neutro
homem feio,Negativo
Você vai morrer solteiro,Negativo
Homens solitários,Negativo
homens importantes,Positivo
homem gavião,Neutro
ele é valente,Positivo
homem ciumento,Negativo
marido bravo,Negativo
menino é esperto,Positivo
Você é muito estranho,Negativo
você é fraco,Negativo
homem é brabo,Negativo
você é especial,Positivo
ele está feliz,Positivo
homem malvado,Negativo
rapaz importante,Positivo
rapaz grã-fino,Positivo
Homem fantasma,Neutro
você tá carente,Negativo
homem é traira,Negativo
homem é safado,Positivo
você ia ser chato,Negativo
Eles eram leigos,Negativo
você é campeão,Positivo
ELES VIRAM,Neutro
Ele é poderoso,Positivo
você é importante,Positivo
você é responsável,Positivo
você é novo,Positivo
Ele vai cheio,Positivo
Ele é especialista,Positivo
Ele é maior,Positivo
ele é cuidadoso,Positivo
você foi pobre,Negativo
homem sorridente,Positivo
homem mesmo,Neutro
Ele foi considerado,Positivo
homem imprestável,Positivo
Ele ficou tão contente,Negativo
você será triste,Negativo
menino inocente,Neutro
rapaz galante,Positivo
menino beijoqueiro,Positivo
você é calmo,Positivo
você tá bem pior,Negativo
ele sou capaz,Positivo
Ele larga,Neutro
homem é valente,Positivo
homem fica mudo,Negativo
Você ficou calado,Negativo
Ele fica furioso,Negativo
Você vai ser feliz,Positivo
você vou ficar louco,Negativo
você estou perdido,Negativo
você tá feliz,Positivo
namorado besta,Negativo
você é triste,Negativo
ele espermeava,Negativo
ele é igualzinho,Positivo
você foi bem mais fácil,Positivo
homem seja livre,Positivo
Homens fortes,Positivo
Você tá muito boa,Positivo
homem explosivo,Negativo
você for capaz,Positivo
você fica distante,Positivo
Menino bomba,Neutro
homem bomba,Neutro
ele era mulato,Positivo
você é bom,Positivo
homem coletivo,Positivo
eles morais,Positivo
Ele é chamado,Positivo
Você é bem grandinho,Positivo
Menino bonito,Positivo
eles são bonitos,Positivo
eles são famosos,Positivo
ele fosse todo,Neutro
homem corno,Negativo
homem baixo,Neutro
homem gordo,Neutro
homem grato,Positivo
Ele foi tão falso,Negativo
ele é tão ocupado,Negativo
você sou diferente,Positivo
Você é tão perfeito,Positivo
você serei feliz,Positivo
Garoto fenomenal,Positivo
homem moderno,Positivo
Você tá doidinho,Negativo
você fica sozinho,Negativo
você fica bravo,Negativo
menino grande,Neutro
homem homem,Neutro
você tava certo,Positivo
você ficou distante,Neutro
você ficar parado,Neutro
ele plantá,Neutro
ele é feito,Neutro
homem é capaz,Positivo
homem desprezado é cacimba,Negativo
você estou desiludido,Neutro
rapaz gordinho,Neutro
ele ganhô,Neutro
homem ser escravo,Neutro
homem carente,Negativo
Ele é feliz,Positivo
marido pobre,Negativo
reis falsos,Negativo
menino cínico,Negativo
você foi constante,Neutro
ele é melhor,Positivo
homem fica brega,Negativo
você estava comigo,Neutro
Você está presente,Positivo
Você é vulgar,Negativo
você é humano,Neutro
você fica distande,Negativo
homem ereto,Neutro
você fica calado,Negativo
Ele é tão delicado,Neutro
ele inteiro,Neutro
Ele está contigo,Neutro
homens competentes,Positivo
homens estão esquecidos,Negativo
rapaz era descrente,Negativo
Você está contente,Positivo
ele fica deslumbrado,Neutro
ele foi tentado,Negativo
homem grande,Neutro
você fico carente,Negativo
Ele era novo,Neutro
você é anormal,Negativo
eles ficam muito felizes,Positivo
homem é gay,Neutro
homem é viado,Neutro
você é gay,Neutro
você é bissexual,Neutro
Você é louco,Positivo
eles são esquisitos,Negativo
você está tão diferente,Neutro
ele é chato,Negativo
Você é irresistível,Positivo
rei está morto,Negativo
Você é tão previsível,Negativo
ele é passado,Neutro
você é japonês,Neutro
você é dedo-,Neutro
você é valentão,Negativo
ele é fraco,Negativo
você eu fico frágil,Negativo
Você vai continuar aqui intacto,Positivo
você estiver sonhando alto,Positivo
homem branco,Neutro
Você é tão falso,Negativo
homem caucasiano,Neutro
ele é lindo,Positivo
Eles ficam grudados,Neutro
homens humanos,Neutro
homem é corno,Negativo
você se torna capaz,Positivo
você é esquisito,Negativo
Você é todo careta,Negativo
homem aranha,Neutro
você é muito grande,Positivo
menino sonhador,Positivo
Você é diferente,Neutro
homem preciso,Neutro
ele azunha,Neutro
Ele é ruim,Negativo
você estaremos juntos,Neutro
você for triste,Negativo
você foi cruel,Negativo
Ele é mesmo bom,Positivo
homem justiceiro,Positivo
Homem cabeludo,Neutro
homens são distintos,Neutro
você está abatido,Negativo
menino estava morto,Negativo
marido é violeiro,Neutro
ele ser casado,Neutro
você é tão fácil,Neutro
homem seja humano,Neutro
homens pais,Neutro
você está sonhando novos,Positivo
João era pobre,Negativo
João foi nascido,Neutro
ele estava tão contente,Positivo
Você é ser humano,Neutro
ele é sentimental,Negativo
homem normal,Neutro
menino doente,Neutro
ele foi transformado,Neutro
ele tem é inofensivo,Negativo
ele duetar,Neutro
ele distante,Negativo
homem humilde,Positivo
ele ficar valente,Positivo
rapaz faceiro,Positivo
Você tá muito diferente,Neutro
Você é fogo,Positivo
Você tá pronto,Positivo
ele maluco,Negativo
homens valentes,Positivo
homem é bom,Positivo
você fica ausente,Negativo
Ele é bagunçado,Negativo
Ele tá formado,Neutro
homem ideal,Positivo
senhor pensou ser vagabundo,Negativo
eles estão perdidos,Neutro
Você ta livre,Positivo
namorado tá ficando bravo,Negativo
namorado tava pobre,Negativo
Você é muito bom,Positivo
Você está invisível,Negativo
homens confiáveis,Positivo
Você é má,Negativo
homem gentil,Positivo
homem leão,Positivo
Ele é bonito,Positivo
homem voador,Positivo
ele fica mudo,Negativo
você estiver triste,Negativo
você foi ruim,Negativo
homem querido,Positivo
homem disposto,Neutro
rei triste,Negativo
você é muito ocupado,Negativo
homem sábio,Positivo
homem grave,Negativo
você ficar triste,Negativo
rapaz comum,Neutro
ele é primeiro,Neutro
Ele é negro,Neutro
Ele é estranho,Negativo
você estiver comigo,Neutro
ele está lindo,Positivo
ele era raso,Negativo
homem bonito,Positivo
menino infeliz,Neutro
menino eletricista,Negativo
rapaz direito,Positivo
menino branco,Neutro
você era pequeno,Neutro
Ele ficou bestificado,Negativo
menino foi internado,Neutro
Você é tão moderno,Positivo
Você é tão esperto,Positivo
Você está tão certo,Positivo
rapaz perfeito,Positivo
você fica mais distante,Negativo
você tá biritado,Negativo
homens gris,Neutro
Ele é Inteiramente,Neutro
Ele é imperialmente poderoso,Positivo
Ele é imparcialmente misericordioso,Positivo
Ele é augusto,Neutro
Ele está disponível,Positivo
Ele limpa,Neutro
Ele é indescritível,Positivo
Ele é incompreensível,Negativo
Ele é invencível,Positivo
Ele é irresistível,Positivo
ele é brasileiro,Neutro
você é mesmo,Neutro
Você tá doido,Negativo
homem infeliz,Negativo
rapaz foi perdoado,Positivo
menino esperto,Positivo
você ficou velhinho,Negativo
menino folgazão,Negativo
menino inteligente,Positivo
homem egoísta,Negativo
Eles devem estar velhinhos,Negativo
você está velhinho,Negativo
ele está guardado,Neutro
homem cibernético,Neutro
você está feliz,Positivo
Você é casado,Neutro
homem cheio,Neutro
você tá errado,Negativo
João era bem bom,Positivo
homem manso,Positivo
Ele era muito cachaceiro,Neutro
Marido serio,Positivo
ele fomos condenado,Neutro
meninos frouxos,Negativo
você é mesmo capaz,Positivo
namorado louco,Negativo
reis é perigosa,Negativo
você tá afim,Neutro
Senhores contemporâneos,Neutro
Você é muito louco,Negativo
você foi bulir,Positivo
você sou só desamor,Negativo
senhores infalíveis,Negativo
Ele é tão pequeno,Negativo
menino igual,Positivo
você foi fraco,Negativo
homem justo,Positivo
você são está comigo,Positivo
você for pra pistar,Positivo
menino trombadinha,Negativo
Menino vivo,Positivo
ele fica bom,Positivo
Você é forte,Positivo
você foi vulgar,Positivo
homem capaz,Positivo
você fosse feliz,Positivo
Você é muito especial,Positivo
Eles estão baratinados,Neutro
você tudo fica melhor,Positivo
Ele é bilíngue,Neutro
homens serão felizes,Positivo
Menino passaro,Neutro
Menino gigante,Neutro
Ele é sozinho,Negativo
João sozinho,Negativo
você é inocente,Positivo
rapaz ruim,Negativo
homem é sentimental,Negativo
homem é esperto,Positivo
homem comum,Neutro
ele era bom,Positivo
você está inseguro,Negativo
Você é pecador,Negativo
Você é poluidor,Negativo
você é pequenininho,Neutro
Você é igualzinho,Neutro
ele parece eterno,Positivo
Você está solto,Positivo
você é guloso,Negativo
você estamos viciados,Negativo
Você é prisioneiro,Negativo
você é alérgico,Negativo
você é covarde,Negativo
Eles serão reais,Neutro
você é doce,Positivo
você é meio,Neutro
você tá ligado,Positivo
Ele é loiro,Neutro
ele é quente,Neutro
Você era legal,Negativo
garoto fica bobo,Negativo
você tá parado,Neutro
ele estar sossegado,Neutro
ele tá doente,Negativo
Ele tá doidão,Negativo
ele finjia,Negativo
ele fica doido,Negativo
Menino brasileiro,Neutro
menino travesso,Negativo
eles são difíceis,Negativo
ele vortar,Neutro
você é tiéte,Positivo
menino moreno,Neutro
menino caboclo,Neutro
você é chicleteiro,Neutro
Ele foi prisioneiro,Negativo
homem ficou maluco,Negativo
marido desnorteado,Negativo
homem estranho,Negativo
você ficar velho,Negativo
homem é livre,Neutro
homem foi eleito,Neutro
homem maldito,Negativo
menino feliz,Positivo
menino vai fazer boa,Positivo
menino caçador,Neutro
ele está muito certo,Positivo
rei precisa ser muito educado,Positivo
homem pacato,Positivo
menino pertinho,Neutro
você for feliz,Positivo
Ele inocente,Positivo
senhor tá intimado,Negativo
ele é certo,Positivo
senhor decente,Positivo
ele é manso,Positivo
ele é doce,Positivo
você sou capaz,Positivo
ele foi indagado,Neutro
você tava carente,Negativo
Você é chocolate,Neutro
ele é capaz,Positivo
namorado é pobre,Negativo
homem correto,Positivo
você tá ruim,Negativo
você está ruim,Negativo
ele foi enterrado,Negativo
você tá sozinho,Negativo
Você é bobo,Negativo
Ele é puro,Positivo
homem decente,Positivo
rapaz cansado,Negativo
você ficou tão triste,Negativo
menino louro,Neutro
você foi incapaz,Negativo
você era só passado,Neutro
você é melhor,Positivo
homem durão,Positivo
homem desonesto,Negativo
você estarei ausente,Negativo
eles são lindos,Positivo
ele foi ferido,Negativo
Ele é bonzinho,Positivo
homem valentão,Negativo
Você é bravo,Negativo
ele é tão carinhosa,Positivo
você é merecedor,Positivo
Ele foi chamado,Positivo
você é frouxo,Negativo
senhor bom,Positivo
homens corruptos,Negativo
você tá perdido,Negativo
Você vai ficar livre,Positivo
homem pior,Negativo
você ficar doente,Negativo
menino homem,Neutro
você é pobre,Negativo
marido é jovem,Positivo
ele é mais rico,Positivo
você é conveniente,Positivo
Você é tão difícil,Negativo
Ele era conhecido,Positivo
Ele é honesto,Positivo
você está casado,Neutro
ele está inseguro,Negativo
senhor cascavel,Neutro
homens comigo,Neutro
rapazes fogo,Neutro
senhor está sozinho,Negativo
Você é algo diferente,Neutro
ele casado,Neutro
Ele foi tão covarde,Negativo
ele é feio,Negativo
rapaz caipira,Negativo
ele cansado,Negativo
homem calmo,Positivo
menino estranho,Negativo
menino vadio,Negativo
ele é branco,Neutro
ele torneia,Neutro
ele é pretensioso,Negativo
menino vagalume,Neutro
rapaz novo,Positivo
ele era original,Positivo
eles sós,Neutro
joão vigilante,Neutro
você é sensual,Positivo
homem incomum,Neutro
homem feminino,Negativo
Você é muito enigmático,Negativo
menino mijão,Negativo
Ele é pleno,Positivo
homem gêmeo,Neutro
rei é gordinho,Neutro
rei é sozinho,Negativo
rei está nu,Neutro
João é forte,Positivo
você é duro,Positivo
homem destemido,Positivo
Menino bom,Positivo
menino meu,Neutro
eles é careta,Negativo
homens normais,Neutro
Você é muito importante,Positivo
Ele é cordial,Positivo
Você é mata virgem,Neutro
você está certo,Positivo
ele é acusado,Negativo
você tudo fica ruim,Negativo
homem é responsável,Positivo
você fique triste,Negativo
Você está mais velho,Negativo
Você está bem disposto,Positivo
Você foi mais feliz,Positivo
eles sangrentos,Neutro
você vai reto,Neutro
homem indomável,Negativo
homem doce,Positivo
eles ficam melhores,Neutro
ele é tão pierrô,Neutro
homens foi feliz,Positivo
ele ficou melhor,Positivo
ele está melhor,Positivo
Eles estavam livres,Positivo
homem foi feito,Neutro
rapaz está pregado,Neutro
você é total,Neutro
namorado bonito,Positivo
Eles polemizam,Negativo
ele fica tonto,Negativo
você é legal,Positivo
você fosse calmaria,Positivo
eles ficam tão furiosos,Negativo
você é pequeno,Negativo
você tá forte,Positivo
você tá gordo,Neutro
menino tocador,Neutro
ele é suspeito,Negativo
você parece tão radical,Positivo
Você parece legal,Positivo
você parecia tão especial,Positivo
ele sendo irreal,Neutro
Você é tão elegante,Positivo
menino humilde,Positivo
ele é duro,Positivo
homem era feliz,Positivo
Eles estão doidinhos,Negativo
Você é tão sensual,Positivo
ele fôr dançador,Positivo
meninos pobres,Negativo
você tá tão ruim,Negativo
homem apaixonado(apaixonado,Positivo
você faz tudo parecer tão fácil,Positivo
Ele fica doente,Negativo
homem sofredor,Negativo
você foi fácil,Positivo
você é fácil,Positivo
MENINO CRIANÇA,Neutro
homem bravo,Negativo
Você é insensível,Negativo
você é mais forte,Positivo
Você era pobre,Negativo
Você fica tão calado,Negativo
Eles são bravos,Negativo
Eles são pura,Positivo
meninos cowboys,Neutro
Você é envolvente,Positivo
Ele melhor,Positivo
Ele é malhado,Positivo
você era fiel,Positivo
homem verdadeiro,Positivo
Homem esperto,Positivo
Ele fica sozinho,Negativo
você esteja bem melhor,Positivo
João pegador,Positivo
João inteligente,Positivo
você seja artista,Neutro
rei violeiro,Neutro
Ele é único,Neutro
homem é fraco,Negativo
você tá difícil,Negativo
eles são iguais,Neutro
moços bonitinhos,Positivo
eles ficam tontos,Negativo
você é bonzinho,Positivo
você está surdo,Neutro
homens negros,Neutro
Homens simples,Neutro
Ele estar nu,Neutro
menino é gay,Neutro
ele é gatão,Positivo
Ele é casado,Neutro
Meninos maus,Negativo
Ele está fraco,Negativo
homem pode ser careca,Neutro
homens nus,Neutro
homem sossegado,Neutro
Você é nuvem,Neutro
Ele é vivo,Positivo
marido era rude,Negativo
rapaz foi perseguido,Negativo
homem virgem,Neutro
ele está apressado,Neutro
Você está tão mirrado,Neutro
João fosse segundo,Neutro
senhores ingratos,Negativo
homens ingratos,Negativo
ele é tão sincero,Positivo
ele é quase eterno,Neutro
você está diferente,Neutro
Você é sádico,Negativo
ele é sincero,Positivo
Ele buscando-a,Neutro
menino maluquinho,Negativo
você tá tão chique,Positivo
você ficou nu,Neutro
você seja melhor,Positivo
ele cruel,Negativo
menino soldado,Neutro
homem estanca,Neutro
homens sórdidos,Neutro
você tá churriado,Neutro
homem é mais sólido,Neutro
Você é protetor,Positivo
Ele é claro,Neutro
Você é quem fica preso,Neutro
homem é mau,Negativo
você sou pá-furada,Neutro
homem vil,Positivo
ele vai voltar louco,Negativo
você seja diferente,Neutro
Você faz tudo parecer tão simples,Positivo
Ele era tão pobre,Negativo
Ele era tão cego,Neutro
Ele era tão frágil,Negativo
Ele era tão triste,Negativo
Ele era tão sujo,Negativo
Ele era tão normal,Neutro
Você é distraido,Negativo
ele é vendido,Negativo
Ele quer ser famoso,Neutro
ele quer ser pop,Positivo
garoto prodígio,Positivo
você parece tão vulgar,Neutro
Ele foliou,Neutro
Você está tão sossegado,Neutro
Ele está preocupado,Negativo
Ele é amado,Positivo
homem negro,Neutro
Você vai normal,Neutro
homem nú,Neutro
homem nu,Neutro
homens melhores,Neutro
homens mortos,Negativo
eles são patéticos,Negativo
eles são românticos,Positivo
voce é muito importante,Positivo
Menino baiano,Neutro
Eles são legais,Positivo
Ele é careta,Negativo
Ele é porreta,Positivo
Ele careta,Negativo
Você era democrata,Positivo
Você é burguês,Positivo
Garoto fique esperto,Negativo
ele foi sonhado,Positivo
Eles são tão complicados,Neutro
você está enganado,Negativo
Ele é profundo,Positivo
você está ai sozinho,Negativo
eles estão escondidos,Negativo
homem tá cansado,Negativo
você foi maldoso,Negativo
Você vai ficando triste,Negativo
você está tão triste,Negativo
homem amoroso,Positivo
homem fazendeiro,Neutro
ele foi traído,Negativo
homem ativo,Positivo
Homem criança,Neutro
homem dela ficava sozinho,Negativo
homem grandalhão,Positivo
ele certo,Positivo
homens direito,Positivo
ele ia meio,Neutro
marido fica triste,Negativo
rapaz cortês,Positivo
marido mesmo,Positivo
você estar feliz,Positivo
você estar contente,Positivo
você foi inconsequente,Negativo
homem estava morto,Negativo
Marido bonito,Positivo
homens aventureiro,Positivo
Você vai ficar sozinho,Negativo
você é incrível,Positivo
homem solteiro,Neutro
você chora eu fico triste,Negativo
Você está livre,Positivo
você esteve tão presente,Positivo
Você tá muito inseguro,Negativo
você era diferente,Neutro
Ele é mal acabado,Negativo
namorado novo,Neutro
ele é espaçoso,Negativo
você ser nobre,Positivo
menino moço,Neutro
marido é ruim,Negativo
Ele é mais bonito,Positivo
homem é mal acabado,Negativo
eles são tão importantes,Positivo
você foi feliz,Positivo
homem independente,Positivo
homem exigente,Negativo
ele ficou sozinho,Negativo
você ficou triste,Negativo
ele ser pobre,Negativo
homem é preciso,Neutro
você estou afim,Neutro
eles estão enganados,Negativo
Você está mais jovem,Positivo
homem fica preso,Negativo
Homem manchudado,Negativo
homem pássaro,Neutro
Você parece tão distante,Negativo
menino inconsequente,Negativo
homem roceiro,Neutro
ele fica quente,Neutro
você é impossível,Negativo
homem tenta ser insuperável,Negativo
Homens honestos,Positivo
você vai ser ruim,Negativo
Ele é presente,Positivo
Ele é completo,Neutro
você tá tão diferente,Neutro
Ele foi consciente,Positivo
homens ficam louco,Negativo
ele estava animado,Positivo
você tá muito feliz,Positivo
garoto chato,Negativo
homem gostoso,Positivo
Você tá ciente,Positivo
Você é fenomenal,Positivo
Você estava muito doente,Negativo
rapaz ficou paralisado,Negativo
garoto imbecil,Negativo
você vai ficando velho,Neutro
ele estava tão feliz,Positivo
homem digno,Positivo
Você parece chiclete,Negativo
homem vaidoso,Positivo
homens sérios,Positivo
Você torna tão difícil,Negativo
ele é tão querido,Positivo
Você é mesmo muito egoísta,Negativo
Homem inadequado,Negativo
ele foi cruel,Negativo
menino genioso,Negativo
homem bruto,Negativo
homem tras,Neutro
ele está pelado,Negativo
homens virtuais,Neutro
homem terrível,Negativo
Ele foi humilhado,Negativo
Ele fique comigo,Neutro
ele é filho,Neutro
eles avacalham,Negativo
homens verdes,Neutro
Ele é sexy,Positivo
Ele é sexagenário,Neutro
Você é tão irritante,Negativo
Você é tão nojento,Negativo
Você é tão chato,Negativo
Você vai ficar velho,Negativo
você foi fenomenal,Negativo
você sabe eu fico louco,Negativo
você fica ainda mais bonito,Positivo
Ele é fingido,Negativo
homem é meio misterioso,Negativo
garoto imperfeito,Negativo
Você estava carente,Negativo
homem é cego,Neutro
homem é ateu,Neutro
você é tão ruim,Negativo
você se tornou passado,Negativo
você foi bem real,Neutro
ele ficou desesperado,Negativo
ele feio,Negativo
ele inteirinho,Neutro
você fui importante,Neutro
homem tagarela,Negativo
ele é indefinido,Negativo
você é mais fácil,Neutro
Você fica diferente,Neutro
voce está presente,Neutro
ele é real,Neutro
eles gostoso,Positivo
você foi sério,Neutro
você eu fico fraco,Negativo
eles velhos,Negativo
rapaz delicado,Negativo
Você é bem capaz,Positivo
você fique certo,Neutro
Você está velho,Negativo
Ele é fundamental,Positivo
Ele é solidário,Positivo
Ele tá junto sempre firme,Positivo
ele é família,Positivo
você está ausente,Negativo
Você tá igual,Neutro
Ele é sensacional,Positivo
homem fica maluco,Negativo
Você tá diferente,Neutro
você é teimoso,Negativo
Ele era alto,Positivo
ele é tão gostoso,Positivo
você é complicado,Negativo
homem entanda,Neutro
homem é camarada,Positivo
homem aventureiro,Positivo
Ele é ENSABOADO,Neutro
eles foram felizes,Positivo
você ficar aí tão triste,Negativo
Ele fica meio tímido,Negativo
você está carente,Negativo
você estava on,Positivo
Você é muito jovem,Negativo
menino brincalhão,Positivo
ele eram vagabundos,Negativo
Ele é reprodutor,Positivo
marido infiel,Negativo
Você é oceano,Neutro
ele é insistente,Negativo
você vai ser melhor,Positivo
Você estará presente,Positivo
homem irresponsável,Negativo
você é muito brilhante,Positivo
Ele é amigo,Positivo
Ele está doente,Negativo
você tá induzido,Positivo
Ele vai ser campeão,Positivo
rapaz maroto,Positivo
homem duro,Negativo
Homem bobo,Positivo
homem baba,Negativo
homem amarga,Positivo
homem maluco,Negativo
Você vai ficar maluco,Negativo
Ele foi preso,Negativo
homem mano,Neutro
Você tá preso,Negativo
rapaz sério,Positivo
eles são misérinha,Negativo
Ele fica parado,Neutro
ele é sinistro,Negativo
Você é rico,Positivo
você tá cheio,Neutro
homens tristes,Negativo
Você é mó,Positivo
garoto querido,Positivo
rei tá bolado,Neutro
ele tá comigo,Neutro
Ele colore,Neutro
você for solteiro,Neutro
ele fica cheio,Neutro
você tá preocupado,Negativo
você vai ficar fudido,Negativo
rapaz era muito inteligente,Positivo
Ele é justiceiro,Positivo
ele é matador,Negativo
senhores feudais,Neutro
eles ficaram cheios,Neutro
Ele ficou bom,Neutro
homens são mortais,Negativo
menino pequenino,Negativo
rapaz direitinho,Positivo
homens dependentes,Negativo
homem mortal,Negativo
senhor é pago,Neutro
homens sós,Neutro
rei guerreiro,Neutro
rei primeiro,Neutro
reis magros,Neutro
menino diferente,Neutro
menino foi gerado,Neutro
menino povo,Neutro
João padroeiro,Neutro
homem predador,Positivo
homem benevolente,Positivo
rei nagô,Neutro
homem groover,Neutro
rei velho,Neutro
homens sisudos,Neutro
menino brilhante,Positivo
Você vai pagar caro,Negativo
João filho,Neutro
ele ficar inteirinho,Neutro
Você é maravilhoso,Positivo
Você é sedutor,Positivo
Você está ficando acabado,Negativo
meninos sonhadores,Positivo
você foi bem fácil,Negativo
Ele fica perdido,Negativo
Homens criminal,Negativo
ELE ESTAVA DROGADO,Negativo
você foi tão indiferente,Negativo
ele é criança,Negativo
ele é louco,Negativo
Você é todo sofisticado,Positivo
você ta ligado,Neutro
homem imoral,Negativo
homens criminais,Negativo
você fosse mais inteligente,Negativo
Você é assim tão irreal,Positivo
Ele está mais bonito,Positivo
Você é bonito,Positivo
menino meia-noite,Neutro
Menino trovão,Neutro
menino pistoleiro,Negativo
Menino caramanchão,Neutro
Menino fui cangaceiro,Neutro
moços pobres,Negativo
ele foi tão ruim,Negativo
Ele foi capaz,Positivo
meninos risonhos,Positivo
marido é bom,Positivo
homem bacante,Positivo
você fosse mais chique,Positivo
você fica meio,Neutro
Eles estão despreocupados,Positivo
Você é maior,Positivo
você está noutro,Neutro
Você está sempre certo,Positivo
Ele é mais leve,Positivo
ele é frio,Negativo
ele é mais fraco,Negativo
Ele é muito mais familiar,Positivo
ele era independente,Positivo
ele era diferente,Neutro
homens chatos,Negativo
ele foi trancafiado,Negativo
eles banais,Negativo
Você tá cercado,Negativo
ele foi massacrado,Negativo
você é norte,Neutro
ele está perdido,Negativo
ele está derrotado,Negativo
ele ia ver tão bela,Positivo
ele era tão perfeito,Positivo
você fique comigo,Neutro
Você fica sempre mudo,Negativo
Você é bem mais forte,Positivo
ele foi egoísta,Negativo
ele é tão descompensado,Negativo
você foi mais forte,Positivo
você foi tão diferente,Positivo
Você é bem complexo,Negativo
Ele é fazendeiro,Neutro
você está magoado,Negativo
homem preguiçoso,Negativo
homem era valente,Positivo
você foi teimoso,Negativo
rapaz decente,Positivo
senhor considera ser rico,Positivo
homem descrente,Negativo
homem biônico,Neutro
você iria ser feliz,Positivo
você tá assim tão diferente,Neutro
homens leais,Positivo
homem chato,Negativo
ele sorridente,Positivo
Você é jovem,Positivo
Ele é boiola,Negativo
ele é bem mais forte,Positivo
Ele é boa,Positivo
rei vagabundo,Negativo
ele ficou mais lindo,Positivo
ele é muito original,Positivo
você tá curioso,Positivo
ele iria pedir cheio,Neutro
você é interessante,Positivo
menino sou sonhador,Positivo
Ele é fácil,Positivo
ele é cristal,Neutro
Ele pode estar certo,Positivo
homens comuns,Neutro
você seja bem feliz,Positivo
homem pequenino,Neutro
homem domesticado,Neutro
Ele tá desesperado,Negativo
você está ungido,Positivo
você é tão forte,Positivo
ele atento,Positivo
homem caprichoso,Negativo
